municipalities,ACLED_events_total,ACLED_events_Violence_against_civilians,ACLED_events_Battles,CIESIN_GPWv411_GPW_Population_Density_population_density_max,NASA_FLDAS_NOAH01_C_GL_M_V001_Qle_tavg_max_std,ECMWF_ERA5_LAND_MONTHLY_skin_temperature_max_std,ECMWF_ERA5_LAND_MONTHLY_volumetric_soil_water_layer_3_min_std,spam2020v2r0_global_prod_P_WHEA_A_mean
Abi Gharaq,4,2,0,2215.537841796875,7.690046302447612,10.742207715145797,0.00328949901079465,6204.43984375
Abu Dalf,18,2,6,93.81309509277344,32.59012767446418,11.401819077258056,0.024629405981495583,11518.766927083334
Abu Ghraib,96,17,21,5654.49267578125,8.926511522532822,10.9253861794219,0.007020525394177606,2676.7998046875
Agjalare,4,2,0,509.082763671875,42.37166914597938,10.728104361908255,0.08797879031725024,0.0
Akaika,49,5,5,239.12413024902344,9.763528878752268,10.751155779326014,0.0030338024511791777,0.0
Al-Abbasi,3,1,1,118.15973663330078,26.500964631658,11.363250627571428,0.027538963234714976,14055.466145833334
Al-Adel,29,6,18,210.56761169433597,10.019994743232711,11.109718064501003,0.012344687071368224,2709.28759765625
Al-Ahrar,13,2,0,174.7543487548828,13.805702990102152,10.729299690387986,0.00985216103461191,15568.22554347826
Al-Alam,37,3,9,464.56158447265625,21.794633398653737,11.265738029846338,0.017891138278972936,6453.85009765625
Al-Amirya,15,2,7,606.352294921875,10.670401276667722,10.309986386286493,0.0,1905.909412202381
Al-Atheem,126,5,58,261.8009948730469,17.818226008581767,11.458048989971864,0.022989920905049976,6935.633463541667
Al-Ayadiya,10,1,0,122.128662109375,41.6459320762872,11.236229752587748,0.06551070179842661,2769.66259765625
Al-Aziz,12,1,11,210.56759643554688,8.830055073748666,11.118724783066977,0.0196542666241154,1628.699951171875
Al-Aziziya,18,3,2,143.7315673828125,17.46995518256867,10.937452475130018,0.007893506025140216,16349.51953125
Al-Baghdady,60,0,7,26.20270347595215,10.764880333219631,10.609516375818574,0.0023136154754179916,796.9000244140625
Al-Bahhar,2,0,0,178.7025604248047,12.45434603872046,10.924913511116218,0.012187134380377823,1163.300048828125
Al-Bashaer,10,4,4,138.85910034179688,18.145584641999417,10.887551786119708,0.011455672426210053,16268.816761363636
Al-Battha'a,17,2,1,261.308837890625,8.896581011982134,10.59013732868825,0.00017791689821604234,0.0
Al-Bdair,2,0,0,217.89739990234372,10.607687831565517,10.593503221734744,0.011639587215104354,6242.3876953125
Al-Daghara,3,1,0,276.2860717773437,8.892509957128901,10.73786082824138,0.0008382487394716843,5597.10009765625
Al-Dair,30,5,12,1727.656494140625,9.49769885649999,11.132601787565667,0.01214331832545967,0.0
Al-Dawaya,7,1,2,261.3088684082031,9.607378757617088,10.712023465060804,0.008198037989572289,399.6624755859375
Al-Dujeel,21,1,9,3141.381591796875,13.025964877180874,10.194826131367408,0.0,7406.588541666667
Al-Duloeyah,15,2,6,261.8009948730469,15.026748752446721,11.115570227245936,0.024781150491539658,9255.989583333334
Al-Duski,3,0,0,647.3738403320312,44.675663521624685,10.57588295470636,0.09420276807342526,0.0
Al-Emam,12,1,0,150.8056640625,10.044169933020392,10.762482844195617,0.0039108938104693135,7222.5
Al-Esshaqi,11,1,5,111.18875122070312,11.823007646579581,10.127977858324412,0.0,7031.678571428572
Al-Fadhliya,76,8,9,239.12417602539065,12.67639798230547,10.640462575072958,0.0020393716963327925,0.0
Al-Fahama,13,6,6,4743.6484375,1.6648123568208952,11.077130154950119,0.010878911003358128,3086.2333984375
Al-Fajer,2,0,0,138.85911560058594,11.506084529431893,10.743482084566685,0.009123637300165799,20243.662109375
Al-Fawwar,2,0,0,247.5913848876953,12.47139493574846,10.756731374935322,0.0008047023590399198,894.050048828125
Al-Forat,8,0,5,114.23394012451172,11.79524564460401,9.713347052289782,0.0,1933.8875732421875
Al-Fuhood,25,0,1,239.1241607666016,14.243954031415283,10.655964961252426,0.0017801947425837795,0.0
Al-Garma,59,1,16,2467.645751953125,9.74528162299783,10.835114489990362,0.009170488968571689,4043.0135869565215
Al-Gharraf,20,2,4,261.308837890625,8.563592670455613,10.621257833152203,0.007425406282975006,30.225000381469727
Al-Habbaniya,11,0,0,186.29368591308597,8.599513618384032,10.24171545635801,0.006630071785518942,1801.8599609375
Al-Hafriya,0,0,0,143.7315673828125,12.119449031855371,11.057465777973373,0.009665697143039994,14227.723958333334
Al-Hammar,0,0,0,239.12417602539065,13.75371838287929,10.636244620504,0.0033813298106726807,0.0
Al-Haqlaniya,9,0,0,26.20270347595215,10.069524860257536,9.882586111407758,0.00280139428162839,1226.4000244140625
Al-Hartha,67,16,26,1727.656494140625,10.660261437581473,11.099028414409805,0.0222501842208373,0.0
Al-Hassainya,2,0,0,606.3523559570312,9.078488983020256,10.758113981425923,0.0006355047308592502,1619.6000434027778
Al-Haydariya,7,2,1,2215.53759765625,8.099410059386962,10.490025296400278,0.005145379394599755,3830.569110576923
Al-Heera,5,3,1,533.3016967773438,8.679790124771605,10.4537702763002,0.0037481222267755987,4627.633246527777
Al-Hilal,26,1,4,501.1204528808594,10.228603134473039,10.55784201154613,1.4169483077622608e-05,2869.1998697916665
Al-Howweir,0,0,0,210.56761169433597,7.155866509708856,11.014947167954631,0.012625285782122611,3002.2001953125
Al-Huriya,29,6,6,2215.537353515625,8.780947327334236,10.74175726064254,0.00041532723958160955,6659.072443181818
Al-Iskandaria,62,1,21,606.3523559570312,9.913317634453566,10.761927736669108,0.004316475233704649,5888.533203125
Al-Islah,36,0,3,261.308837890625,8.454476771025687,10.710703859879471,0.005781964114736774,82.35999755859375
Al-Jadwal Al-Ghrabi,7,1,1,2215.537841796875,8.689283966348347,10.539747492201222,0.002793669534416705,4537.085658482143
Al-Jisr,12,2,6,8843.861328125,10.367812593841512,11.123061933681809,0.006600362828376091,5894.743861607143
Al-Karabla,2,0,0,35.92887878417969,11.572017998674335,10.210816848634673,0.0011380884440760084,10.052630775853208
Al-Karrada Al-Sharqia,244,38,12,8843.8623046875,9.304315916317199,11.247422792250068,0.007262305477358815,0.0
Al-Kifil,4,1,0,2215.537841796875,7.130912247657277,10.779782320980273,0.00041532723958160955,6287.455255681818
Al-Latifya,0,0,0,606.3522338867188,10.829390450624913,11.029695224745169,0.0038696871713749664,6380.985491071428
Al-Madhatiya,6,2,0,276.2861022949219,10.49005565556186,10.850657923486285,0.0038800787636529815,7761.295230263157
Al-Majd,0,0,0,501.1204528808594,9.867011073490461,10.55017945869304,7.301412540949776e-05,0.0
Al-Mamoon,4,2,0,8843.8623046875,10.602550936297364,11.104741499920046,0.00480997725911792,8899.516927083334
Al-Mansour,401,62,43,8769.6875,1.5975726233957261,10.96844907937397,0.006700233990634554,0.0
Al-Mansouriyah,51,12,22,261.8009948730469,19.02602011088525,10.996565283688843,0.022669945926503732,5703.899739583333
Al-Mashroo,4,0,1,606.3522338867188,10.630690261385958,10.87489790203502,0.005152615359544388,7652.81484375
Al-Mihanawiya,19,2,0,927.5802001953124,7.905352872762101,10.714495833859543,0.00023477585549315275,7920.399739583333
Al-Mowafaqiya,4,3,0,217.8973388671875,12.9150190852321,10.848645764528575,0.011969080132336088,13118.93359375
Al-Msharah,445,85,37,191.7973175048828,17.21061235415703,11.344142835218973,0.030171339379578565,3074.0998883928573
Al-Muhamadath,204,22,25,585.6417846679688,37.87986637226184,11.604044029144921,0.05755423974185239,3045.5748697916665
Al-Multaka,4,0,3,464.5616149902344,27.77484469197989,11.157555659307096,0.04784646122697527,9575.6005859375
Al-Muotasim,8,1,5,103.29322814941406,14.795220334119627,11.277401624782051,0.024781150491539658,10537.23046875
Al-Najmi,6,0,0,217.8973846435547,10.073699888482157,10.592434633443045,0.0009857842421294206,2646.74169921875
Al-Nashwa,6,1,1,1727.65625,10.810902520996155,10.978721528096946,0.013398254571323256,0.0
Al-Nasr,12,1,1,261.308837890625,9.686367197108758,10.65835724970754,0.0035260388701112686,0.800000011920929
Al-Nekhaeeb,16,0,10,114.23394775390624,10.733338714981317,10.344505197837771,0.0004256551553240242,21.283334096272785
Al-Obiadi,0,0,0,23.460702896118164,10.336184540854042,10.25860177674386,0.001711144572788575,15.387500762939451
Al-Qahtanya,11,0,2,60.24863052368164,28.789517317511407,11.357656872146704,0.0284049171140604,2525.544270833333
Al-Qairawan,5,0,1,60.24863052368164,29.66272947535134,11.418774037757304,0.047548164052990255,3413.02734375
Al-Qasim,9,2,1,927.5801391601562,8.733570054668773,10.769200029578268,0.0009121817583110915,7186.7796875
Al-Qayarra,112,7,15,585.6417846679688,34.408739248764704,11.553991687266905,0.0532741601117653,2920.9166666666665
Al-Qosh,3,1,0,276.0521240234375,41.62737846256655,9.646552738701132,0.08097842761717472,612.439990234375
Al-Rahhaliya,2,1,1,185.0352783203125,11.218745005537611,9.700982652195314,0.0,0.0
Al-Rashad,110,8,40,464.5616149902344,24.93748145283318,11.565807040141918,0.027133453081171856,14790.09090909091
Al-Rashdia,24,6,10,4743.6484375,11.068430599371752,11.0964598795221,0.010942027633747723,1723.7000325520833
Al-Rasheed,6,3,0,5654.4931640625,10.13516133649697,11.06863057125465,0.0038696871713749664,2973.112548828125
Al-Riyadh,62,3,31,464.56158447265625,26.350423587872488,11.592158110241707,0.027133453081171856,17340.264508928572
Al-Rummaneh,81,2,16,295.4098815917969,13.004776751363133,10.366193108250421,0.0023549356292469586,14.430769700270432
Al-Saadiya,35,3,12,44.67538833618164,23.133639306999953,11.021568170813206,0.020247427912017207,0.0
Al-Sadeer,20,1,3,217.89739990234372,9.415762894100482,10.618493090068693,0.0001208601271171231,3559.60009765625
Al-Salam,32,3,18,261.308837890625,8.835547846764301,11.18017287250861,0.006284119733840138,1146.98994140625
Al-Saniya,8,0,1,217.8973846435547,8.065427766048304,10.716867004455144,0.0003718866966588471,8006.0
Al-Shabaka,0,0,0,217.8973693847656,10.271055368348467,10.442797003369352,0.002856165868003613,2025.300048828125
Al-Shafeia,0,0,0,217.8973846435547,8.25856039031805,10.697148810649304,0.00022280830876696334,0.0
Al-Shamal,54,2,14,122.1286392211914,34.807013412004814,11.330340696710543,0.06996929993981704,2788.1385216346152
Al-Shehamiya,0,0,0,150.80564880371094,11.729990850798472,10.992681553174503,0.0076895502253206014,14959.3296875
Al-Shinafiya,12,1,2,355.5509338378906,9.954405388882938,10.515369188717777,1.4169483077622608e-05,1673.199951171875
Al-Shomaly,7,1,1,276.2861022949219,10.616252011776009,10.824481077550606,0.003159496767069628,7391.7457932692305
Al-Siba,28,1,2,178.70257568359375,10.899902055540663,10.793338003598917,0.005655869839758034,2205.025146484375
Al-Sowair,529,7,12,501.1204833984375,10.358974241950657,10.502987178655099,7.301412540949776e-05,888.3333333333334
Al-Synia,52,1,20,66.89239501953125,21.648447716910795,11.137085625881321,0.017958962384958796,3384.0
Al-Taji,47,6,8,4743.64794921875,10.479374589901294,11.068798611996383,0.010216912444816885,1637.800048828125
Al-Tar,6,0,2,239.1241455078125,11.528708585663376,10.780018820478173,0.0017801947425837795,0.0
Al-Tarmiya,164,24,70,4743.6484375,11.543391214079593,10.794046789505087,0.013757605654221409,3197.736505681818
Al-Teeb,4,0,0,122.28140258789062,22.636062949439772,11.404772770687487,0.03154931658173834,938.3999837239584
Al-Thagar,24,1,6,210.567626953125,9.822829003932547,11.286142207192299,0.020362605994563864,1519.800083705357
Al-Tharthar,11,1,7,111.18875122070312,11.67789299690554,10.404839472894144,0.0,5345.4203125
Al-Wajihia,12,3,3,189.32765197753903,19.392079111638775,11.39263870676277,0.022892008107155123,7575.73681640625
Al-Walid,19,0,13,4.670734882354736,11.339849013441968,9.941491142073426,0.003225175905372292,0.1500000059604644
Al-Warka,59,2,6,501.1204528808594,10.97624760244714,10.543850794734615,7.301412540949776e-05,1818.1749674479167
Al-Wihda,28,6,6,114.85932159423828,14.935313748507447,11.120606278239347,0.008698123679377136,5063.423076923077
Al-Yousifya,40,4,7,815.4650268554688,9.655285005441048,10.87479951746109,0.0038696871713749664,2779.599609375
Al-Zab,17,1,2,147.80043029785156,28.182692395084572,11.36532401156074,0.03248104504999958,8378.214285714286
Al-Zubaidiya,5,0,0,143.7315673828125,12.518364006653847,10.968944062868808,0.006821164636809904,20090.43526785714
Ali Al-Sharki,6,1,1,124.4743194580078,28.592756965280632,11.173358372953647,0.02188119973487355,1234.971540178571
Altun Qupri,22,5,6,464.5616149902344,39.203446661424664,11.126829713540046,0.0681290102808647,9589.650390625
Ameraly,34,1,14,93.81311798095705,23.303303017620518,11.612573427172467,0.032608317519799965,8570.7998046875
Atreesh,1,0,0,266.5329284667969,44.39342300080019,10.679680000999316,0.08480738428410572,0.0
Baghdad Al-Jedeeda,120,39,32,8843.861328125,9.304315916317199,11.260332969828179,0.008599071799890052,10861.2001953125
Balak,129,6,5,215.471923828125,39.72718216960286,11.2516001224222,0.0672677634736256,0.0
Bardarash,7,1,1,215.47190856933597,46.046234368586475,11.404751589022789,0.08432986117960206,384.1499938964844
Bartilla,7,0,0,125.00079345703124,36.23840498158084,11.205341714551563,0.05978546861948111,457.4666748046875
Barwana,52,3,6,29.80463218688965,13.476164202693353,10.031717251000321,0.004762754720167658,0.0
Barwari Bala,1854,3,428,618.0952758789062,42.76166922927092,12.024981621011486,0.07050045404992733,0.0
Barzan,4,0,0,215.4719390869141,43.77203233644119,10.884408553370811,0.08153978904685724,0.0
Bashiqa,50,3,2,252.5647125244141,41.55969570570531,11.112988343711601,0.06815336702962838,656.5
Bateel,2,0,0,632.2009887695312,45.561037157486496,10.8615124045676,0.08081699713510652,4.5
Batifa,418,1,139,647.3737182617188,46.23481546179239,10.574926794603156,0.07851999231143332,0.0
Bazian,5,1,1,509.0828247070313,42.573068601915686,10.61783291679182,0.08645288600036272,0.0
Bebaz,0,0,0,509.082763671875,39.81743505310859,11.555930421667357,0.07865992714125093,0.0
Begeel,0,0,0,215.47190856933597,44.97214415845108,10.538177535462715,0.09183951660057955,0.0
Beni Hasheem,29,1,14,122.28140258789062,12.26773170023175,10.978840247499853,0.028756288146574265,2841.3
Beni Saad,283,33,68,8843.8603515625,13.932877987600406,11.175202097921469,0.014270150028476286,6905.48095703125
Beyara,1,0,1,100.39505004882812,34.66327024771016,10.492819127338883,0.08083353836851648,444.3999938964844
Bitwana,0,0,0,215.471923828125,43.74891736940237,10.666409904934287,0.08887438695394312,0.0
Bradost,593,0,98,216.357421875,43.574719183766895,10.963876567739865,0.06359610930183374,72.31428745814732
Buhriz,54,8,23,5727.05810546875,11.824915693992873,11.3184081038005,0.014270150028476286,11152.75078125
Cenkaw,1,0,1,509.0828247070313,42.07120614666272,10.984544470605277,0.07587941852191506,0.0
Dercar,153,3,50,647.3736572265625,45.4667979007878,10.884450675600487,0.08455550194036461,822.7999877929688
Diana,60,4,3,215.471923828125,44.59960965095394,10.81412627156074,0.08212791946739684,0.0
Dibaga,1,0,0,215.47186279296875,36.02539405841638,11.717218365416814,0.05860332163417667,6.900000095367432
Dijla,39,3,14,111.18875122070312,17.07288337181026,10.539653940285955,0.007205915648811804,0.0
Dinarta,115,0,0,215.47189331054688,46.5019452905451,10.98040931249723,0.09152775361921854,0.0
Fayde,0,0,0,604.8798828125,42.07684999422725,10.943292785033771,0.08147527151572934,0.0
Garmat Beni Said,4,0,2,220.9612274169922,13.72016690560184,10.776904242709476,0.001670793728777993,0.0
Ghammas,3,0,0,217.8973846435547,8.757649728866506,10.581876989740843,0.0037481222267755987,6052.39990234375
Gnareen,2,0,0,215.471923828125,43.21741107454266,10.14586560419959,0.0674498575317053,0.0
Gwyer,2,0,1,215.47190856933597,39.626712282478884,11.299475200037268,0.05940567055488456,5.333333333333333
Haji Omaran,27,0,1,215.471923828125,38.45749543379622,11.364975720101803,0.06615376013056226,1.5499999523162842
Hammam Al-Alil,27,1,5,585.6417846679688,34.11726797107124,11.78411513532343,0.06494473456484538,3080.4615384615386
Hamreen,132,2,55,109.8974838256836,26.66621685080686,11.44709870160289,0.024629405981495583,9989.875
Harir,14,0,4,215.471923828125,45.22736646379029,10.538177535462715,0.08936264733059657,0.0
